time,ObservationPoint_2D_01,ObservationPoint_2D_02,ObservationPoint_2D_03,ObservationPoint_2D_04
2024-04-02 00:00:00,0.0,0.0,0.0,0.0
2024-04-02 00:02:00,0.0,0.0,0.0,0.0
2024-04-02 00:04:00,0.0,0.0,0.0,0.0
2024-04-02 00:06:00,0.0,0.0,0.0,0.0
2024-04-02 00:08:00,0.0,0.0,0.0,0.0
2024-04-02 00:10:00,0.0,0.0,0.0,0.0
2024-04-02 00:12:00,0.0,0.0,0.0,0.0
2024-04-02 00:14:00,0.0,0.0,0.0,0.0
2024-04-02 00:16:00,0.0,0.0,0.0,0.0
2024-04-02 00:18:00,0.0,0.0,0.0,0.0
2024-04-02 00:20:00,0.0,0.0,0.0,0.0
2024-04-02 00:22:00,0.0,0.0,0.0,0.0
2024-04-02 00:24:00,0.0,0.0,0.0,0.0
2024-04-02 00:26:00,0.0,0.0,0.0,0.0
2024-04-02 00:28:00,0.0,0.0,0.0,0.0
2024-04-02 00:30:00,0.0,0.0,0.0,0.0
2024-04-02 00:32:00,0.0,0.0,0.0,0.0
2024-04-02 00:34:00,0.0,0.0,0.0,0.0
2024-04-02 00:36:00,0.0,0.0,0.0,0.0
2024-04-02 00:38:00,0.0,0.0,0.0,0.0
2024-04-02 00:40:00,0.0,0.0,0.0,0.002
2024-04-02 00:42:00,0.0,0.0,0.0,0.011
2024-04-02 00:44:00,0.0,0.0,0.0,0.038
2024-04-02 00:46:00,0.0,0.0,0.0,0.09
2024-04-02 00:48:00,0.0,0.0,0.0,0.152
2024-04-02 00:50:00,0.0,0.0,0.0,0.211
2024-04-02 00:52:00,0.0,0.0,0.0,0.263
2024-04-02 00:54:00,0.0,0.0,0.0,0.311
2024-04-02 00:56:00,0.0,0.0,0.0,0.356
2024-04-02 00:58:00,0.0,0.0,0.0,0.4
2024-04-02 01:00:00,0.0,0.0,0.0,0.448
2024-04-02 01:02:00,0.0,0.0,0.0,0.504
2024-04-02 01:04:00,0.0,0.0,0.0,0.571
2024-04-02 01:06:00,0.0,0.0,0.0,0.643
2024-04-02 01:08:00,0.0,0.0,0.0,0.71
2024-04-02 01:10:00,0.0,0.0,0.0,0.771
2024-04-02 01:12:00,0.0,0.0,0.0,0.828
2024-04-02 01:14:00,0.0,0.0,0.0,0.879
2024-04-02 01:16:00,0.0,0.0,0.0,0.927
2024-04-02 01:18:00,0.0,0.0,0.0,0.97
2024-04-02 01:20:00,0.0,0.0,0.0,1.009
2024-04-02 01:22:00,0.0,0.0,0.0,1.042
2024-04-02 01:24:00,0.0,0.0,0.0,1.069
2024-04-02 01:26:00,0.0,0.0,0.0,1.089
2024-04-02 01:28:00,0.0,0.0,0.0,1.104
2024-04-02 01:30:00,0.0,0.0,0.0,1.117
2024-04-02 01:32:00,0.0,0.0,0.001,1.128
2024-04-02 01:34:00,0.0,0.0,0.004,1.139
2024-04-02 01:36:00,0.0,0.0,0.009,1.151
2024-04-02 01:38:00,0.0,0.0,0.018,1.163
2024-04-02 01:40:00,0.0,0.0,0.031,1.176
2024-04-02 01:42:00,0.0,0.0,0.049,1.188
2024-04-02 01:44:00,0.0,0.001,0.068,1.199
2024-04-02 01:46:00,0.0,0.004,0.088,1.209
2024-04-02 01:48:00,0.0,0.018,0.108,1.218
2024-04-02 01:50:00,0.0,0.055,0.125,1.224
2024-04-02 01:52:00,0.0,0.113,0.142,1.23
2024-04-02 01:54:00,0.0,0.17,0.157,1.235
2024-04-02 01:56:00,0.0,0.218,0.17,1.239
2024-04-02 01:58:00,0.0,0.258,0.182,1.242
2024-04-02 02:00:00,0.0,0.292,0.193,1.245
2024-04-02 02:02:00,0.0,0.322,0.203,1.247
2024-04-02 02:04:00,0.0,0.349,0.212,1.25
2024-04-02 02:06:00,0.0,0.374,0.221,1.252
2024-04-02 02:08:00,0.0,0.397,0.229,1.254
2024-04-02 02:10:00,0.0,0.419,0.237,1.256
2024-04-02 02:12:00,0.0,0.441,0.244,1.257
2024-04-02 02:14:00,0.0,0.464,0.251,1.259
2024-04-02 02:16:00,0.0,0.489,0.259,1.26
2024-04-02 02:18:00,0.0,0.52,0.267,1.261
2024-04-02 02:20:00,0.0,0.552,0.275,1.262
2024-04-02 02:22:00,0.0,0.583,0.283,1.263
2024-04-02 02:24:00,0.0,0.614,0.291,1.263
2024-04-02 02:26:00,0.0,0.646,0.3,1.264
2024-04-02 02:28:00,0.0,0.678,0.31,1.265
2024-04-02 02:30:00,0.0,0.71,0.32,1.266
2024-04-02 02:32:00,0.0,0.739,0.331,1.266
2024-04-02 02:34:00,0.0,0.768,0.344,1.267
2024-04-02 02:36:00,0.0,0.799,0.357,1.268
2024-04-02 02:38:00,0.0,0.828,0.371,1.269
2024-04-02 02:40:00,0.0,0.858,0.385,1.269
2024-04-02 02:42:00,0.0,0.887,0.399,1.27
2024-04-02 02:44:00,0.0,0.915,0.413,1.271
2024-04-02 02:46:00,0.0,0.943,0.427,1.272
2024-04-02 02:48:00,0.0,0.971,0.441,1.273
2024-04-02 02:50:00,0.0,0.999,0.456,1.275
2024-04-02 02:52:00,0.0,1.025,0.471,1.276
2024-04-02 02:54:00,0.0,1.052,0.486,1.277
2024-04-02 02:56:00,0.0,1.077,0.501,1.279
2024-04-02 02:58:00,0.0,1.101,0.516,1.28
2024-04-02 03:00:00,0.0,1.123,0.532,1.282
2024-04-02 03:02:00,0.001,1.144,0.548,1.284
2024-04-02 03:04:00,0.004,1.163,0.564,1.286
2024-04-02 03:06:00,0.011,1.18,0.581,1.289
2024-04-02 03:08:00,0.025,1.195,0.598,1.291
2024-04-02 03:10:00,0.047,1.209,0.615,1.294
2024-04-02 03:12:00,0.075,1.221,0.633,1.296
2024-04-02 03:14:00,0.105,1.232,0.652,1.299
2024-04-02 03:16:00,0.134,1.241,0.67,1.302
2024-04-02 03:18:00,0.16,1.25,0.689,1.305
2024-04-02 03:20:00,0.184,1.257,0.709,1.308
2024-04-02 03:22:00,0.206,1.263,0.729,1.311
2024-04-02 03:24:00,0.226,1.269,0.749,1.313
2024-04-02 03:26:00,0.243,1.273,0.769,1.316
2024-04-02 03:28:00,0.259,1.278,0.79,1.319
2024-04-02 03:30:00,0.274,1.282,0.811,1.321
